Cable Drum multiplier tables from APCO manual.  Using Imperial numbers as IPPT is required,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
inch to mm,25.4,,,,,,,
,"door height""",door height (mm)  (converted),multiplier,turns,,calculated,error,100kg door IPPT error
400-8,36,=B36*$B$34,0.5303,4.3,,=76.35*C36^-0.7231,=G36-D36,=100*H36*2.205
400-8,39,=B37*$B$34,0.51,4.5,,=76.35*C37^-0.7231,=G37-D37,=100*H37*2.205
400-8,42,=B38*$B$34,0.4899,4.6,,=76.35*C38^-0.7231,=G38-D38,=100*H38*2.205
400-8,45,=B39*$B$34,0.4704,4.8,,=76.35*C39^-0.7231,=G39-D39,=100*H39*2.205
400-8,48,=B40*$B$34,0.4519,5,,=76.35*C40^-0.7231,=G40-D40,=100*H40*2.205
400-8,51,=B41*$B$34,0.4343,5.2,,=76.35*C41^-0.7231,=G41-D41,=100*H41*2.205
400-8,54,=B42*$B$34,0.4177,5.4,,=76.35*C42^-0.7231,=G42-D42,=100*H42*2.205
400-8,57,=B43*$B$34,0.4021,5.7,,=76.35*C43^-0.7231,=G43-D43,=100*H43*2.205
400-8,60,=B44*$B$34,0.3875,5.9,,=76.35*C44^-0.7231,=G44-D44,=100*H44*2.205
400-8,63,=B45*$B$34,0.3738,6.1,,=76.35*C45^-0.7231,=G45-D45,=100*H45*2.205
400-8,66,=B46*$B$34,0.3609,6.3,,=76.35*C46^-0.7231,=G46-D46,=100*H46*2.205
400-8,69,=B47*$B$34,0.3487,6.5,,=76.35*C47^-0.7231,=G47-D47,=100*H47*2.205
400-8,72,=B48*$B$34,0.3374,6.7,,=76.35*C48^-0.7231,=G48-D48,=100*H48*2.205
400-8,75,=B49*$B$34,0.3266,7,,=76.35*C49^-0.7231,=G49-D49,=100*H49*2.205
400-8,78,=B50*$B$34,0.3165,7.2,,=76.35*C50^-0.7231,=G50-D50,=100*H50*2.205
400-8,81,=B51*$B$34,0.307,7.4,,=76.35*C51^-0.7231,=G51-D51,=100*H51*2.205
400-8,84,=B52*$B$34,0.298,7.6,,=76.35*C52^-0.7231,=G52-D52,=100*H52*2.205
400-8,87,=B53*$B$34,0.2895,7.9,,=76.35*C53^-0.7231,=G53-D53,=100*H53*2.205
400-8,90,=B54*$B$34,0.2814,8.1,,=76.35*C54^-0.7231,=G54-D54,=100*H54*2.205
400-8,93,=B55*$B$34,0.2738,8.3,,=76.35*C55^-0.7231,=G55-D55,=100*H55*2.205
400-8,96,=B56*$B$34,0.2666,8.5,,=76.35*C56^-0.7231,=G56-D56,=100*H56*2.205
